IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
270,141865,12,489500,FR,1,M,68,97,0,0,0,0,Moderate,None
1350,18910,34,489500,AL,0,F,67,67,1,0,0,0,Moderate,None
2230,19403.07,27,489380,FR,1,M,57,4,0,0,0,0,Moderate,None
6219,120,4,489200,FR,2,M,0,0,0,0,0,0,Moderate,None
1673,12264,26,489000,AL,3,M,52,76,1,0,0,0,Moderate,None
4712,1441.94,10,487500,RF,0,F,0,18,0,0,0,0,Moderate,None
70,7883,49,487000,AL,4,M,52,77,1,0,0,0,Moderate,None
3338,10100,24,487000,AL,1,M,0,0,1,0,0,0,Moderate,None
5036,1000,5,485500,AL,2,M,0,0,1,0,0,0,Moderate,None
3544,6600,3,485500,FP,1,M,0,30,0,0,0,0,Moderate,None
5880,300,4,484490,FR,1,M,0,0,0,0,0,0,Moderate,None
3238,17949.71,28,484087,FR,4,F,66,69,0,0,0,0,Moderate,None
5942,250,1,483700,FR,2,F,0,0,0,0,0,0,Moderate,None
2967,32525,30,483500,AL,1,M,59,98,1,0,0,0,Moderate,None
1589,158818.51,33,482809,AL,1,M,86,88,1,0,0,0,Moderate,None
5377,625,5,482600,FR,0,F,0,100,0,0,0,0,Moderate,None
3914,3850,19,482564,AL,1,F,60,71,1,0,0,0,Moderate,None
3975,3528,14,482500,AL,1,F,0,0,1,0,0,0,Moderate,None
192,24166,13,482000,FR,1,M,60,83,0,0,0,0,Moderate,None
4384,2085,3,481815,AL,1,M,0,0,1,0,0,0,Moderate,None
2603,30032,14,481000,AL,1,M,63,81,1,0,0,0,Moderate,None
213,5235,37,478500,AL,1,M,65,72,1,0,0,0,Moderate,None
4556,1740,8,477621,AL,1,M,77,96,1,0,0,0,Moderate,None
5465,550,6,477540,FP,1,M,0,0,0,0,0,0,Moderate,None
3637,5624,11,477500,AL,1,M,0,44,1,0,0,0,Moderate,None
1669,107789,10,477002,AL,1,M,33,0,1,0,0,0,Moderate,None
4407,2030.6,11,475000,AL,5,M,0,43,1,0,0,0,Moderate,None
2859,49488.5,26,474500,AL,7,F,0,0,1,0,0,0,Moderate,None
3527,6833,33,474500,AL,1,M,52,66,1,0,0,0,Moderate,None
1006,105861.25,27,473500,AL,1,M,100,49,1,0,0,0,Moderate,None
4753,1379,39,473500,AL,1,M,25,57,1,0,0,0,Moderate,None
4895,1135,10,473000,AL,0,F,0,0,1,0,0,0,Moderate,None
